CBBTCUSD
DATE;Bitcoin;Ethereum;GoTrend(E);GoTrend(B);S&P500;Price(Gold);Inflation;MoneySupply;VIX
2016-02-15;386.8485714285714286;4.653620;2;3;1849.4825000000000000;1208.7000000000000000;1.21250000000000000000;12535.6;26.5925000000000000
2016-02-22;425.4428571428571429;6.468350;4;2;1920.7020000000000000;1208.7900000000000000;1.2680000000000000;12522.8;21.5940000000000000
2016-02-29;428.7985714285714286;11.382900;4;2;1936.6100000000000000;1230.3100000000000000;1.3800000000000000;12550.9;20.2340000000000000
2016-03-07;413.0214285714285714;14.475000;5;2;1991.9900000000000000;1250.0800000000000000;1.5020000000000000;12649.1;17.1400000000000000
2016-03-14;413.9242857142857143;10.319800;3;2;1999.9840000000000000;1259.6800000000000000;1.5020000000000000;12673.0;17.6960000000000000
2016-03-21;413.2871428571428571;10.419200;4;2;2036.9840000000000000;1247.0100000000000000;1.5800000000000000;12675.2;14.8160000000000000
2016-03-28;418.4028571428571429;11.618300;3;2;2039.8750000000000000;1233.4833333333333333;1.5850000000000000;12725.6;14.7725000000000000
2016-04-04;417.4957142857142857;8.936340;2;2;2063.5220000000000000;1227.0700000000000000;1.6280000000000000;12816.0;13.7100000000000000
2016-04-11;421.7271428571428571;9.309100;3;2;2048.6660000000000000;1235.4000000000000000;1.5800000000000000;12830.5;15.4580000000000000
2016-04-18;429.4271428571428571;8.001350;2;3;2080.3980000000000000;1242.5400000000000000;1.5640000000000000;12841.9;13.8760000000000000
2016-04-25;452.4285714285714286;8.846500;2;4;2094.8100000000000000;1244.6700000000000000;1.6300000000000000;12684.8;13.5540000000000000
2016-05-02;454.8314285714285714;9.482930;3;3;2081.8780000000000000;1252.5875000000000000;1.6920000000000000;12701.2;14.6660000000000000
2016-05-09;457.4342857142857143;9.962350;5;2;2056.1900000000000000;1282.1100000000000000;1.6200000000000000;12721.7;15.3700000000000000
2016-05-16;456.8057142857142857;14.286100;5;3;2065.2460000000000000;1272.2200000000000000;1.5980000000000000;12737.6;14.4900000000000000
2016-05-23;446.8871428571428571;12.350400;4;3;2047.0480000000000000;1260.3300000000000000;1.5760000000000000;12691.0;15.7740000000000000
2016-05-30;486.5342857142857143;13.975000;4;3;2088.9400000000000000;1227.8250000000000000;1.5725000000000000;12678.3;13.7175000000000000
2016-06-06;559.0785714285714286;15.743700;7;4;2102.0180000000000000;1218.7600000000000000;1.5360000000000000;12791.7;13.8280000000000000
2016-06-13;616.2942857142857143;12.234200;6;5;2104.3720000000000000;1260.5100000000000000;1.5420000000000000;12831.2;16.1540000000000000
2016-06-20;733.8028571428571429;13.850200;4;3;2075.8560000000000000;1287.2300000000000000;1.4380000000000000;12800.0;19.5580000000000000
2016-06-27;649.0542857142857143;11.720200;3;3;2065.1240000000000000;1290.0000000000000000;1.4260000000000000;12729.8;21.3020000000000000
2016-07-04;670.0014285714285714;10.947600;3;3;2077.1675000000000000;1325.4500000000000000;1.4000000000000000;12860.0;16.4475000000000000
2016-07-11;659.8542857142857143;11.158700;4;3;2110.6480000000000000;1359.2400000000000000;1.4220000000000000;12858.7;14.4080000000000000
2016-07-18;667.5500000000000000;12.749500;6;3;2159.3900000000000000;1335.0900000000000000;1.4680000000000000;12860.9;12.9040000000000000
2016-07-25;662.7342857142857143;11.875900;4;3;2169.0960000000000000;1323.6000000000000000;1.4860000000000000;12795.6;12.2740000000000000
2016-08-01;644.8357142857142857;10.911600;3;3;2170.0520000000000000;1332.9400000000000000;1.4920000000000000;12888.1;12.5820000000000000
2016-08-08;579.9514285714285714;11.194800;2;2;2169.7660000000000000;1353.2600000000000000;1.4760000000000000;12962.2;12.3080000000000000
2016-08-15;583.7528571428571429;11.179200;3;2;2183.4440000000000000;1341.0400000000000000;1.4580000000000000;12967.3;11.7500000000000000
2016-08-22;578.5128571428571429;10.929300;2;2;2182.7800000000000000;1344.0200000000000000;1.4660000000000000;12938.7;11.9740000000000000
2016-08-29;576.4557142857142857;11.679900;2;3;2176.8460000000000000;1331.3000000000000000;1.4760000000000000;12920.5;13.2100000000000000
2016-09-05;587.9414285714285714;11.638400;2;3;2174.4775000000000000;1315.7600000000000000;1.4625000000000000;13030.9;13.0000000000000000
2016-09-12;616.6657142857142857;12.431200;4;3;2168.1580000000000000;1337.9900000000000000;1.5060000000000000;13073.6;13.8260000000000000
2016-09-19;608.3357142857142857;13.100900;3;2;2135.6660000000000000;1320.2200000000000000;1.4960000000000000;13030.6;16.6380000000000000
2016-09-26;602.0285714285714286;13.199700;2;2;2158.1700000000000000;1327.9300000000000000;1.5320000000000000;12937.9;13.6060000000000000
2016-10-03;609.5385714285714286;12.053700;3;3;2162.3800000000000000;1325.6100000000000000;1.5700000000000000;13049.5;13.2740000000000000
2016-10-10;615.5714285714285714;11.951600;3;3;2157.6780000000000000;1273.1500000000000000;1.6275000000000000;13101.5;13.2640000000000000
2016-10-17;638.7485714285714286;12.036000;2;3;2133.5880000000000000;1255.7900000000000000;1.6520000000000000;13121.5;16.0580000000000000
2016-10-24;639.6500000000000000;11.182800;2;3;2143.5440000000000000;1266.3100000000000000;1.6700000000000000;13032.1;13.9600000000000000
2016-10-31;688.2928571428571429;10.873500;2;3;2133.6380000000000000;1270.5200000000000000;1.7180000000000000;13083.0;15.2620000000000000
2016-11-07;714.5785714285714286;10.101500;3;3;2103.0040000000000000;1292.3500000000000000;1.6980000000000000;13165.8;20.2360000000000000
2016-11-14;711.2557142857142857;9.579280;2;3;2159.7900000000000000;1269.5400000000000000;1.8150000000000000;13211.3;15.3020000000000000
2016-11-21;735.7928571428571429;8.998470;2;3;2184.9060000000000000;1221.5300000000000000;1.8660000000000000;13222.7;13.1420000000000000
2016-11-28;737.2314285714285714;7.443680;2;3;2205.6825000000000000;1198.9300000000000000;1.8900000000000000;13192.1;12.5825000000000000
2016-12-05;755.0400000000000000;8.193620;2;3;2198.2420000000000000;1176.0000000000000000;1.9240000000000000;13266.8;13.3120000000000000
2016-12-12;770.1585714285714286;7.865320;2;4;2243.2520000000000000;1168.0900000000000000;1.9520000000000000;13288.5;12.2080000000000000
2016-12-19;783.0114285714285714;7.175080;2;5;2261.5260000000000000;1144.6400000000000000;1.9020000000000000;13309.2;12.5220000000000000
2016-12-26;870.9257142857142857;8.172570;3;7;2265.1725000000000000;1132.1750000000000000;1.9325000000000000;13303.6;11.3975000000000000
2017-01-02;973.8100000000000000;10.289800;3;6;2251.7225000000000000;1148.5500000000000000;1.9575000000000000;13353.7;13.0875000000000000
2017-01-09;969.8100000000000000;9.904260;3;4;2268.6920000000000000;1168.3400000000000000;1.9660000000000000;13377.3;11.8500000000000000
2017-01-16;834.5942857142857143;10.703200;2;4;2272.3250000000000000;1195.3000000000000000;1.9775000000000000;13341.7;11.3800000000000000
2017-01-23;908.3142857142857143;10.484000;2;4;2267.9960000000000000;1209.2400000000000000;2.0140000000000000;13242.1;12.0880000000000000
2017-01-30;912.4857142857142857;11.353000;2;5;2290.1420000000000000;1196.4800000000000000;2.0740000000000000;13188.2;10.9940000000000000
2017-02-06;1009.0828571428571429;11.399200;3;4;2285.8500000000000000;1213.5500000000000000;2.0440000000000000;13285.3;11.6140000000000000
2017-02-13;1019.7657142857142857;12.758500;3;5;2307.9940000000000000;1232.7000000000000000;1.9920000000000000;13305.4;11.1080000000000000
2017-02-20;1048.0771428571428571;14.520000;7;6;2346.3025000000000000;1233.6600000000000000;2.0250000000000000;13308.1;11.4900000000000000
2017-02-27;1167.0757142857142857;19.302299;5;7;2365.8200000000000000;1243.0300000000000000;2.0220000000000000;13330.3;11.7160000000000000
2017-03-06;1260.7214285714285714;23.437700;12;6;2379.9900000000000000;1240.2300000000000000;2.0220000000000000;13455.8;11.8940000000000000
2017-03-13;1194.7242857142857143;44.740101;9;6;2368.4620000000000000;1209.1900000000000000;2.0120000000000000;13509.9;11.7240000000000000
2017-03-20;1112.7928571428571429;50.521599;9;5;2376.7620000000000000;1218.6300000000000000;2.0060000000000000;13509.0;11.5520000000000000
2017-03-27;1012.5542857142857143;48.748699;7;5;2344.8000000000000000;1245.3900000000000000;1.9700000000000000;13477.8;12.7720000000000000
2017-04-03;1082.6557142857142857;43.266998;6;5;2361.8640000000000000;1249.0800000000000000;1.9680000000000000;13589.5;11.8480000000000000
2017-04-10;1181.2500000000000000;48.718498;6;5;2356.6600000000000000;1256.5600000000000000;1.9500000000000000;13640.2;12.7980000000000000
2017-04-17;1190.8142857142857143;48.489300;10;5;2344.1675000000000000;1271.3666666666666667;1.9025000000000000;13680.7;15.3650000000000000
2017-04-24;1236.9371428571428571;79.021202;18;7;2351.8080000000000000;1280.0500000000000000;1.8520000000000000;13476.0;13.7940000000000000
2017-05-01;1352.6685714285714286;94.007301;14;9;2387.4720000000000000;1266.3250000000000000;1.9120000000000000;13456.6;10.5800000000000000
2017-05-08;1575.3771428571428571;90.786499;14;11;2393.4980000000000000;1242.9400000000000000;1.8660000000000000;13479.4;10.4140000000000000
2017-05-15;1769.9271428571428571;157.936996;47;20;2396.8420000000000000;1225.7000000000000000;1.8500000000000000;13497.8;10.3180000000000000
2017-05-22;1957.9000000000000000;170.511002;37;12;2379.8340000000000000;1249.4200000000000000;1.8080000000000000;13474.6;12.7740000000000000
2017-05-29;2277.9528571428571429;245.332001;42;12;2408.4250000000000000;1258.3375000000000000;1.8125000000000000;13460.4;10.1350000000000000
2017-06-05;2451.6085714285714286;340.609009;72;13;2425.9880000000000000;1266.8800000000000000;1.8020000000000000;13562.0;10.1000000000000000
2017-06-12;2821.9842857142857143;371.458008;56;11;2431.4840000000000000;1281.7700000000000000;1.7720000000000000;13555.6;10.6320000000000000
2017-06-19;2539.8285714285714286;303.247986;53;11;2439.4680000000000000;1259.5000000000000000;1.6940000000000000;13534.9;10.5420000000000000
2017-06-26;2603.9342857142857143;287.987000;33;9;2436.9020000000000000;1248.4200000000000000;1.6840000000000000;13456.4;10.4020000000000000
2017-07-03;2513.8228571428571429;242.136993;40;10;2426.4380000000000000;1245.4100000000000000;1.7280000000000000;13568.8;10.9860000000000000
2017-07-10;2532.3000000000000000;157.363007;38;12;2423.7250000000000000;1219.6800000000000000;1.7400000000000000;13624.4;11.4775000000000000
2017-07-17;2194.5642857142857143;225.951004;27;11;2447.0040000000000000;1220.3000000000000000;1.7620000000000000;13614.0;10.0840000000000000
2017-07-24;2634.2685714285714286;197.977997;24;15;2470.0680000000000000;1243.3200000000000000;1.7660000000000000;13529.5;9.6100000000000000
2017-07-31;2688.8757142857142857;261.566986;30;15;2474.5560000000000000;1257.0800000000000000;1.8180000000000000;13586.8;9.9380000000000000
2017-08-07;2991.5414285714285714;298.063995;31;20;2476.7640000000000000;1264.4700000000000000;1.7920000000000000;13676.6;10.1540000000000000
2017-08-14;3731.6328571428571429;301.428009;28;16;2458.8620000000000000;1275.5400000000000000;1.8020000000000000;13667.5;13.1900000000000000
2017-08-21;4160.2957142857142857;347.893005;33;17;2443.3300000000000000;1284.7250000000000000;1.7680000000000000;13663.0;13.3560000000000000
2017-08-28;4282.4200000000000000;347.484009;30;18;2444.5620000000000000;1286.1250000000000000;1.7540000000000000;13631.9;11.6860000000000000
2017-09-04;4663.8857142857142857;288.747009;26;21;2463.0225000000000000;1318.5600000000000000;1.7625000000000000;13721.4;10.9100000000000000
2017-09-11;4402.7585714285714286;251.748993;21;16;2467.6060000000000000;1340.2800000000000000;1.7960000000000000;13749.9;11.6520000000000000
2017-09-18;3793.8200000000000000;282.483002;18;13;2498.9140000000000000;1324.1800000000000000;1.8520000000000000;13726.4;10.3680000000000000
2017-09-25;3770.6814285714285714;302.337006;17;12;2502.8740000000000000;1302.6400000000000000;1.8460000000000000;13618.6;9.8860000000000000
2017-10-02;4222.5742857142857143;308.608002;23;18;2512.4840000000000000;1288.5100000000000000;1.8500000000000000;13743.2;9.7100000000000000
2017-10-09;4429.1285714285714286;336.595001;28;20;2543.6900000000000000;1275.0000000000000000;1.8550000000000000;13783.0;9.6620000000000000
2017-10-16;5413.9314285714285714;295.446014;22;21;2553.5240000000000000;1294.6600000000000000;1.8700000000000000;13793.9;9.8720000000000000
2017-10-23;5828.2071428571428571;305.088013;27;28;2564.5820000000000000;1281.8500000000000000;1.8460000000000000;13709.4;10.2940000000000000
2017-10-30;5850.4557142857142857;296.263000;30;29;2568.1160000000000000;1273.9700000000000000;1.8780000000000000;13716.1;10.7980000000000000
2017-11-06;7030.4285714285714286;307.907990;27;31;2582.6880000000000000;1275.3900000000000000;1.8700000000000000;13827.1;9.7700000000000000
2017-11-13;6728.1614285714285714;354.385986;42;27;2587.3560000000000000;1281.0900000000000000;1.8760000000000000;13830.3;10.5920000000000000
2017-11-20;7645.2971428571428571;471.329987;63;63;2578.0240000000000000;1282.6600000000000000;1.8540000000000000;13826.0;11.7120000000000000
2017-11-27;8652.9271428571428571;465.852997;75;92;2599.9875000000000000;1287.5900000000000000;1.8375000000000000;13808.5;9.7875000000000000
2017-12-04;10646.0057142857142857;441.721008;100;86;2636.4700000000000000;1285.4500000000000000;1.8540000000000000;13883.2;11.0240000000000000
2017-12-11;15293.020000000000;719.974976;88;100;2641.4620000000000000;1259.7000000000000000;1.8700000000000000;13940.2;10.2860000000000000
2017-12-18;18139.455714285714;694.148010;56;62;2668.9880000000000000;1251.3000000000000000;1.8820000000000000;13971.0;9.9080000000000000
2017-12-25;15396.400000000000;756.732971;70;49;2682.1575000000000000;1265.7375000000000000;1.9250000000000000;13939.6;9.8175000000000000
2018-01-01;14336.592857142857;1153.170044;95;46;2681.0675000000000000;1291.1666666666666667;1.9500000000000000;13968.0;10.4850000000000000
2018-01-08;15750.228571428571;1366.770020;79;57;2724.7440000000000000;1315.5600000000000000;2.0040000000000000;13974.8;9.3760000000000000
2018-01-15;13988.344285714286;1049.579956;46;38;2763.3300000000000000;1326.4700000000000000;2.0175000000000000;13925.8;9.9850000000000000
2018-01-22;11517.458571428571;1246.010010;49;40;2804.0560000000000000;1334.4000000000000000;2.0480000000000000;13828.8;11.6180000000000000
2018-01-29;11194.9471428571428571;834.682007;41;49;2848.4640000000000000;1350.1200000000000000;2.0760000000000000;13750.5;11.8140000000000000
2018-02-05;8887.1200000000000000;814.659973;30;28;2775.8580000000000000;1342.4500000000000000;2.1120000000000000;13844.6;19.2860000000000000
2018-02-12;8235.1542857142857143;923.921021;26;25;2646.6700000000000000;1324.3900000000000000;2.0820000000000000;13840.5;29.1680000000000000
2018-02-19;10119.0357142857142857;844.809998;21;19;2706.2475000000000000;1343.9700000000000000;2.0850000000000000;13847.3;20.7050000000000000
2018-02-26;10178.7771428571428571;866.677979;20;19;2729.6900000000000000;1331.4900000000000000;2.1160000000000000;13846.3;18.3260000000000000
2018-03-05;11007.1000000000000000;723.338989;22;19;2709.5940000000000000;1321.4700000000000000;2.1200000000000000;13998.3;19.8460000000000000
2018-03-12;9518.4600000000000000;538.643982;21;18;2752.6960000000000000;1323.8900000000000000;2.1160000000000000;14020.5;16.6160000000000000
2018-03-19;8361.9214285714285714;524.286987;22;18;2745.4100000000000000;1319.7500000000000000;2.0800000000000000;14024.2;16.9980000000000000
2018-03-26;8651.9057142857142857;379.606995;17;17;2663.8740000000000000;1329.7400000000000000;2.0800000000000000;13999.7;21.0600000000000000
2018-04-02;7207.6928571428571429;400.507996;15;16;2610.0925000000000000;1338.5333333333333333;2.0550000000000000;14156.6;22.2400000000000000
2018-04-09;6900.9414285714285714;531.702026;16;14;2627.9220000000000000;1332.1800000000000000;2.0760000000000000;14154.3;20.6720000000000000
2018-04-16;7712.0657142857142857;621.859985;18;15;2659.4380000000000000;1342.4400000000000000;2.1140000000000000;14175.8;18.6340000000000000
2018-04-23;8546.5928571428571429;688.880981;18;13;2689.7180000000000000;1341.1100000000000000;2.1640000000000000;14020.7;16.0060000000000000
2018-04-30;9239.0657142857142857;792.310974;19;13;2651.7720000000000000;1321.7800000000000000;2.1720000000000000;13937.0;16.6880000000000000
2018-05-07;9489.9657142857142857;733.495972;15;11;2651.2500000000000000;1310.6500000000000000;2.1640000000000000;13996.4;15.3760000000000000
2018-05-14;8817.5471428571428571;715.369019;14;12;2710.1260000000000000;1315.4400000000000000;2.1620000000000000;14012.7;13.3880000000000000
2018-05-21;8323.5528571428571429;572.668030;13;11;2720.0040000000000000;1292.7400000000000000;2.1640000000000000;13996.8;13.5960000000000000
2018-05-28;7475.4985714285714286;618.328979;12;10;2726.7050000000000000;1297.0500000000000000;2.1250000000000000;13980.3;12.8875000000000000
2018-06-04;7524.2128571428571429;526.479004;13;12;2720.1260000000000000;1299.5900000000000000;2.0760000000000000;14101.7;14.7180000000000000
2018-06-11;7388.4257142857142857;500.447998;12;10;2770.5100000000000000;1296.2100000000000000;2.1280000000000000;14111.8;12.1400000000000000
2018-06-18;6502.4985714285714286;457.671997;12;11;2779.6760000000000000;1295.8700000000000000;2.1220000000000000;14128.9;12.3380000000000000
2018-06-25;6406.5185714285714286;453.917999;9;10;2750.3240000000000000;1271.0900000000000000;2.1140000000000000;14008.4;14.3760000000000000
2018-07-02;6229.2385714285714286;489.118988;10;9;2716.8160000000000000;1252.8000000000000000;2.1160000000000000;14133.4;16.4740000000000000
2018-07-09;6620.3285714285714286;449.850006;10;11;2748.4550000000000000;1254.4100000000000000;2.1250000000000000;14170.0;14.2925000000000000
2018-07-16;6355.1385714285714286;459.657013;11;12;2793.1780000000000000;1246.7900000000000000;2.1100000000000000;14160.5;12.7720000000000000
2018-07-23;7432.0514285714285714;466.665009;11;10;2807.6940000000000000;1227.7600000000000000;2.0980000000000000;14078.5;12.5020000000000000
2018-07-30;8182.0142857142857143;410.515991;13;11;2825.0660000000000000;1224.8800000000000000;2.1200000000000000;14090.3;12.8260000000000000
2018-08-06;7321.7528571428571429;319.570007;16;11;2829.5240000000000000;1215.8500000000000000;2.1200000000000000;14190.8;12.2160000000000000
2018-08-13;6356.9171428571428571;300.834015;11;10;2844.9880000000000000;1211.8600000000000000;2.1080000000000000;14198.9;12.1980000000000000
2018-08-20;6358.6171428571428571;275.196991;10;10;2841.2400000000000000;1185.4200000000000000;2.0800000000000000;14188.0;13.3060000000000000
2018-08-27;6630.3600000000000000;294.371002;12;11;2870.6380000000000000;1192.0500000000000000;2.0900000000000000;14151.9;12.3340000000000000
2018-09-03;7120.4257142857142857;196.923996;15;10;2903.5525000000000000;1205.5900000000000000;2.1025000000000000;14244.0;12.7850000000000000
2018-09-10;6522.9971428571428571;220.589005;10;9;2882.4360000000000000;1198.2600000000000000;2.0940000000000000;14248.7;14.1520000000000000
2018-09-17;6405.7057142857142857;244.330002;10;8;2894.9540000000000000;1200.2900000000000000;2.1080000000000000;14254.7;12.8960000000000000
2018-09-24;6564.5942857142857143;232.848007;8;8;2918.4100000000000000;1202.3500000000000000;2.1480000000000000;14135.3;12.0440000000000000
2018-10-01;6564.4857142857142857;226.119003;9;8;2914.8200000000000000;1192.6100000000000000;2.1460000000000000;14223.9;12.3680000000000000
2018-10-08;6548.0542857142857143;195.714996;8;8;2904.1100000000000000;1198.3000000000000000;2.1500000000000000;14235.5;13.6780000000000000
2018-10-15;6325.2357142857142857;205.141998;7;8;2782.4620000000000000;1205.3300000000000000;2.1400000000000000;14265.4;21.3000000000000000
2018-10-22;6416.6128571428571429;205.365997;7;8;2782.3140000000000000;1226.2700000000000000;2.1160000000000000;14211.4;18.9220000000000000
2018-10-29;6384.3300000000000000;207.485992;8;8;2680.4600000000000000;1233.2400000000000000;2.0660000000000000;14174.7;23.8040000000000000
2018-11-05;6346.4071428571428571;211.339996;8;10;2719.2220000000000000;1225.6100000000000000;2.0480000000000000;14265.5;20.6780000000000000
2018-11-12;6389.3771428571428571;177.067001;10;14;2776.6800000000000000;1223.8900000000000000;2.0625000000000000;14254.8;18.1600000000000000
